date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:56	6329/6329	---M-Z	200	added ('OK')	application/javascript	etag:%2218b9-6074692267c3c-gzip%22	https://themesdesign.in/minia-symfony/layouts/assets/libs/node-waves/waves.min.js	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/libs/node-waves/waves.min.js	(from https://themesdesign.in/minia-symfony/layouts/auth-logout.html)
15:58:57	75779/75779	---M-Z	200	added ('OK')	application/javascript	etag:%2212803-607469225c0bc-gzip%22	https://themesdesign.in/minia-symfony/layouts/assets/libs/feather-icons/feather.min.js	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/libs/feather-icons/feather.min.js	(from https://themesdesign.in/minia-symfony/layouts/auth-logout.html)
15:58:57	12962/12962	---M-Z	200	added ('OK')	application/javascript	etag:%2232a2-6074692267c3c-gzip%22	https://themesdesign.in/minia-symfony/layouts/assets/libs/pace-js/pace.min.js	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/libs/pace-js/pace.min.js	(from https://themesdesign.in/minia-symfony/layouts/auth-logout.html)
15:58:57	231/231	---M-Z	200	added ('OK')	application/javascript	etag:%22e7-60746922449bc-gzip%22	https://themesdesign.in/minia-symfony/layouts/assets/js/pages/pass-addon.init.js	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/js/pages/pass-addon.init.js	(from https://themesdesign.in/minia-symfony/layouts/auth-logout.html)
15:59:00	1148064/1148064	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221184a0-6074692238e3c%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/materialdesignicons-webfont.eot?	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/materialdesignicons-webfontd41d.eot	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:01	1148064/1148064	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221184a0-6074692238e3c%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/materialdesignicons-webfont.eot?v=6.5.95	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/materialdesignicons-webfont1d2d.eot	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:01	361384/361384	---M--	200	added ('OK')	font/woff2	etag:%22583a8-6074692239ddc%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/materialdesignicons-webfont.woff2?v=6.5.95	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/materialdesignicons-webfont1d2d.woff2	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:02	273536/273536	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2242c80-607469222b37b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/boxicons.eot	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/boxicons.eot	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:02	93260/93260	---M--	200	added ('OK')	font/woff2	etag:%2216c4c-607469223019b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/boxicons.woff2	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/boxicons.woff2	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:03	273444/273444	---M--	200	added ('OK')	font/woff	etag:%2242c24-607469223019b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/boxicons.woff	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/boxicons.woff	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
